User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
0,0,2015,11,15,12:55,$287.13,Online Transaction,-8.19461E+18,ONLINE,,,3001,,Yes
0,0,2015,11,15,13:19,$2.41,Online Transaction,-7.75907E+18,ONLINE,,,5651,,Yes
0,0,2015,11,16,9:41,$50.81,Online Transaction,-5.51332E+17,ONLINE,,,4411,,Yes
0,0,2015,11,16,9:46,$248.36,Online Transaction,4.87234E+18,ONLINE,,,5732,,Yes
0,0,2015,11,16,11:20,$473.00,Online Transaction,-8.56695E+18,ONLINE,,,3640,,Yes
0,0,2015,11,16,11:34,$144.49,Online Transaction,-3.65006E+18,ONLINE,,,3007,,Yes
0,0,2015,11,16,13:44,$44.57,Online Transaction,1.91348E+18,ONLINE,,,5300,,Yes
0,0,2015,11,17,14:12,$64.93,Online Transaction,4.64574E+18,ONLINE,,,7996,,Yes
0,0,2015,11,17,15:35,$124.59,Online Transaction,9.05774E+18,ONLINE,,,5311,,Yes
0,0,2015,11,17,15:59,$97.34,Online Transaction,5.62583E+18,ONLINE,,,7922,,Yes
0,0,2015,11,17,16:05,$17.86,Online Transaction,-3.22076E+18,ONLINE,,,5311,,Yes
0,0,2015,11,20,7:34,$162.11,Online Transaction,-8.56695E+18,ONLINE,,,3640,,Yes
0,0,2015,11,20,7:42,$-473.00,Online Transaction,-8.56695E+18,ONLINE,,,3640,,Yes
0,2,2016,3,6,11:18,$81.93,Chip Transaction,-6.68009E+18,Claremont,CA,91711,4121,,Yes
0,2,2016,3,6,12:10,$297.86,Online Transaction,-3.22076E+18,ONLINE,,,5311,,Yes
0,3,2008,10,10,9:37,$11.04,Swipe Transaction,1.91348E+18,Pasadena,CA,91106,5300,,Yes
0,3,2008,10,12,11:52,$68.86,Swipe Transaction,-2.45178E+17,Upland,CA,91786,5311,,Yes
0,3,2008,10,12,15:54,$96.19,Swipe Transaction,3.18952E+18,La Verne,CA,91750,5311,,Yes
0,3,2008,10,12,15:58,$298.00,Swipe Transaction,1.7153E+18,Corona,CA,92881,3722,,Yes
0,3,2008,10,13,7:02,$3.72,Swipe Transaction,1.97144E+18,Upland,CA,91784,5300,,Yes
0,3,2008,10,13,7:08,$75.41,Swipe Transaction,-9.00886E+17,Claremont,CA,91711,5310,,Yes
0,3,2008,10,13,8:10,$245.41,Swipe Transaction,-1.39682E+18,Chula Vista,CA,91913,5816,,Yes
0,3,2008,10,13,8:13,$196.10,Swipe Transaction,9.70328E+16,Upland,CA,91784,5411,,Yes
0,3,2008,10,20,9:03,$29.53,Swipe Transaction,1.7153E+18,Corona,CA,92881,3722,,Yes
0,3,2008,10,20,9:23,$-298.00,Swipe Transaction,1.7153E+18,Corona,CA,92881,3722,,Yes
0,3,2016,2,23,10:26,$244.23,Online Transaction,5.76311E+18,ONLINE,,,5310,,Yes
0,3,2016,2,23,14:38,$22.40,Swipe Transaction,-9.90773E+16,Claremont,CA,91711,5300,,Yes
1,1,2016,6,9,10:08,$181.74,Online Transaction,-6.76107E+18,ONLINE,,,5310,,Yes
1,1,2016,6,9,14:44,$3.28,Chip Transaction,5.60503E+18,Little Neck,NY,11362,5211,,Yes
1,1,2016,6,9,18:52,$143.95,Online Transaction,4.79601E+18,ONLINE,,,5732,,Yes
1,1,2019,5,11,14:05,$488.00,Chip Transaction,-7.80705E+18,Rome,Italy,,3684,,Yes
1,1,2019,5,11,14:53,$14.22,Chip Transaction,9.05774E+18,Rome,Italy,,5311,,Yes
1,1,2019,5,16,14:26,$13.79,Chip Transaction,6.09856E+18,Rome,Italy,,4214,,Yes
1,1,2019,5,16,15:12,$12.27,Chip Transaction,7.06958E+18,Rome,Italy,,5812,,Yes
1,1,2019,5,17,13:23,$38.63,Chip Transaction,3.01718E+18,Rome,Italy,,5921,,Yes
1,1,2019,5,23,13:30,$55.58,Chip Transaction,6.99836E+18,Rome,Italy,,5411,,Yes
1,1,2019,5,24,18:32,$63.38,Chip Transaction,-6.16179E+18,Rome,Italy,,3389,,Yes
1,1,2019,5,25,14:06,$130.19,Chip Transaction,3.18952E+18,Rome,Italy,,5311,,Yes
1,1,2019,5,25,14:29,$38.36,Chip Transaction,3.18952E+18,Rome,Italy,,5311,,Yes
1,1,2019,5,30,12:26,$49.31,Chip Transaction,2.91975E+18,Rome,Italy,,5932,,Yes
1,2,2008,12,10,7:40,$61.14,Swipe Transaction,-2.30631E+18,Ozone Park,NY,11417,5411,,Yes
1,2,2008,12,15,12:47,$262.17,Swipe Transaction,-8.56695E+18,Brooklyn,NY,11201,3640,,Yes
1,2,2008,12,15,12:57,$134.00,Swipe Transaction,-8.56695E+18,Brooklyn,NY,11201,3640,,Yes
1,4,2010,3,22,8:10,$77.96,Online Transaction,-3.79662E+18,ONLINE,,,3256,,Yes
1,4,2010,3,22,8:27,$3750.60,Online Transaction,-7.42199E+18,ONLINE,,,4411,,Yes
1,4,2010,3,22,10:27,$239.46,Online Transaction,-5.90412E+18,ONLINE,,,5719,,Yes
1,4,2010,3,22,12:35,$142.59,Swipe Transaction,6.40456E+18,Port au Prince,Haiti,,5310,,Yes
1,4,2010,3,22,14:57,$47.19,Online Transaction,-5.46792E+18,ONLINE,,,5912,,Yes
1,4,2010,3,22,15:50,$0.56,Online Transaction,-2.87577E+18,ONLINE,,,5310,,Yes
1,4,2010,3,23,6:10,$69.58,Online Transaction,7.0356E+18,ONLINE,,,5311,,Yes
1,4,2010,3,23,6:17,$43.79,Online Transaction,-3.09674E+18,ONLINE,,,5814,,Yes
1,4,2010,3,23,7:40,$147.63,Online Transaction,-3.22076E+18,ONLINE,,,5311,,Yes
1,4,2010,3,23,8:03,$157.78,Online Transaction,-5.90412E+18,ONLINE,,,5719,Insufficient Balance,Yes
1,4,2010,3,23,12:33,$169.56,Online Transaction,2.1223E+18,ONLINE,,,5094,,Yes
1,4,2010,3,23,12:51,$10.62,Online Transaction,3.41453E+18,ONLINE,,,5651,,Yes
