User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Zip,MCC,Errors?,Is Fraud?
0,0,2004,10,31,16,26.68,0,8.38425E+17,91752,4814,0,0
0,0,2008,4,23,13,11.48,0,5.43954E+18,,5411,0,0
0,0,2011,10,3,6,37.56,0,-4.63156E+17,29506,5411,0,0
0,0,2015,6,9,13,10.44,1,-7.27612E+17,91754,5411,0,0
0,0,2020,1,31,12,73.42,1,-7.14667E+18,91755,5970,0,0
0,1,2019,2,18,6,33.39,1,4.06065E+18,91750,5411,0,0
0,2,2006,2,26,6,93.52,0,4.06065E+18,91750,5411,0,0
0,2,2009,7,5,6,158.32,0,2.02755E+18,91752,5541,0,0
0,2,2012,12,6,7,23.95,0,-7.27612E+17,91754,5411,0,0
0,2,2017,6,25,20,82.07,1,7.06958E+18,94301,5812,0,0
0,3,2003,11,8,6,47.93,0,-5.47568E+18,91755,5942,0,0
0,3,2005,9,2,11,2.1,0,6.6665E+18,91750,5499,0,0
0,3,2007,7,11,6,113.29,0,-3.45515E+16,91750,5912,0,0
0,3,2009,5,16,14,3.98,0,-7.27612E+17,91754,5411,0,0
0,3,2011,3,17,7,155.49,0,5.81722E+18,91750,5912,0,0
0,3,2013,2,11,6,123.74,0,4.06065E+18,91750,5411,0,0
0,3,2014,11,13,6,40.35,0,4.06065E+18,91750,5411,0,0
0,3,2016,8,27,6,96.66,0,5.81722E+18,91750,5912,0,0
0,3,2018,6,11,4,-327,0,1.27047E+18,96792,3730,0,0
1,1,2011,3,1,12,12.72,0,-7.05207E+18,11363,5814,0,0
1,1,2016,3,28,8,448,1,-8.56695E+18,76655,3640,0,0
1,2,2003,12,9,6,114.91,0,-2.16533E+18,11365,5311,0,0
1,2,2006,1,19,22,120,0,-4.28247E+18,11364,4829,0,0
1,2,2008,11,7,6,273.46,0,-2.91654E+18,11365,5712,0,0
1,2,2012,3,28,19,91.3,0,-6.09472E+18,11363,4900,0,0
1,2,2017,2,15,19,105.4,1,-6.09472E+18,11363,4900,0,0
1,3,2013,8,23,11,15.03,0,9.70328E+16,11364,5411,0,0
1,4,2008,3,4,6,97.48,0,-3.39554E+18,11364,5311,0,0
2,0,2009,11,15,6,13.58,0,-5.86136E+18,91792,5912,0,0
2,0,2011,3,5,15,20,0,-4.28247E+18,60915,4829,0,0
2,0,2012,6,22,4,49.17,2,-6.45844E+18,,4784,0,0
2,0,2013,7,29,4,55.3,2,-6.45844E+18,,4784,0,0
2,0,2014,10,31,20,162,0,-7.92006E+18,,7011,0,0
2,0,2016,4,3,7,7.01,0,2.02755E+18,91792,5541,0,0
2,0,2017,9,14,15,60,1,-4.28247E+18,91910,4829,0,0
2,0,2019,2,25,10,12.47,1,-4.89106E+18,91792,5411,0,0
2,1,2002,6,8,7,10.46,0,3.63912E+18,91792,5814,0,0
2,1,2003,1,1,11,88,0,1.79919E+18,91801,5499,0,0
2,1,2003,7,13,7,7.02,0,9.07853E+18,85024,5411,0,0
2,1,2004,1,17,4,31.74,2,-6.45844E+18,,4784,0,0
2,1,2004,7,24,9,103.71,0,-1.36149E+18,91772,4111,0,0
2,1,2005,1,30,8,7.54,0,-6.03533E+18,91801,5812,0,0
2,1,2005,8,9,7,8.09,0,3.63912E+18,91792,5814,0,0
2,1,2006,2,26,10,56.29,0,2.02755E+18,91792,5541,0,0
2,1,2006,8,30,4,26.52,0,-1.64421E+18,91792,5813,0,0
2,1,2007,3,18,14,43.62,2,-6.45844E+18,,4784,0,0
2,1,2007,9,28,14,23.84,2,-6.45844E+18,,4784,0,0
2,1,2008,3,25,4,58.89,2,-6.45844E+18,,4784,0,0
2,1,2008,9,24,4,58.2,2,-6.45844E+18,,4784,0,0
2,1,2009,3,18,4,17.48,0,6.75962E+18,91901,5311,0,0
2,1,2009,9,21,14,35.37,2,-6.45844E+18,,4784,0,0
2,1,2010,11,18,4,31.74,2,-6.45844E+18,,4784,0,0
2,1,2012,1,29,11,-63,0,2.02755E+18,91792,5541,0,0
2,1,2013,4,1,22,1.72,0,6.6665E+18,91792,5499,0,0
2,1,2014,6,23,9,45.93,2,-6.45844E+18,,4784,1,0
2,1,2015,10,29,4,49.69,2,-6.45844E+18,,4784,0,0
2,1,2017,3,22,6,12.11,0,-5.47568E+18,91977,5942,0,0
2,1,2018,9,18,4,44.31,2,-6.45844E+18,,4784,0,0
2,2,2019,6,27,16,11.71,1,8.7556E+17,91792,5921,0,0
2,3,2015,4,12,23,1.96,1,6.6665E+18,91792,5499,0,0
2,3,2016,9,16,10,12.98,1,-4.89106E+18,91792,5411,0,0
2,3,2018,3,9,4,28.05,2,-6.45844E+18,,4784,0,0
2,3,2019,10,22,14,33.41,2,-6.45844E+18,,4784,0,0
2,4,2010,8,27,10,13.24,0,8.7556E+17,91792,5921,0,0
2,4,2011,11,14,10,13.1,0,2.02755E+18,91792,5541,0,0
2,4,2013,2,3,11,83,0,1.79919E+18,91801,5499,0,0
